time,away,score,home,
3:50,,17-23,Jordan Mathews made Free Throw.,1
3:39,B.J. Tyson missed Jumper.,17-23,,1
3:39,,17-23,Tyrone Wallace Defensive Rebound.,1
3:30,,17-26,Tyrone Wallace made Three Point Jumper. Assisted by Sam Singer.,1
3:03,Michael Zangari missed Jumper.,17-26,,1
3:03,,17-26,Tyrone Wallace Defensive Rebound.,1
2:39,,17-26,Tyrone Wallace missed Three Point Jumper.,1
2:39,,17-26,Ivan Rabb Offensive Rebound.,1
2:34,Foul on Deng Riak.,17-26,,1
2:34,,17-26,Ivan Rabb missed Free Throw.,1
2:34,,17-26,California Deadball Team Rebound.,1
2:34,,17-27,Ivan Rabb made Free Throw.,1
2:09,,17-27,Foul on Sam Singer.,1
2:09,Caleb White made Free Throw.,18-27,,1
2:09,Caleb White made Free Throw.,19-27,,1
1:52,,19-27,Jaylen Brown Turnover.,1
1:51,Prince Williams Steal.,19-27,,1
1:47,Kentrell Barkley made Dunk. Assisted by Prince Williams.,21-27,,1
1:30,,21-29,Tyrone Wallace made Jumper. Assisted by Sam Singer.,1
1:22,Michael Zangari made Three Point Jumper. Assisted by Prince Williams.,24-29,,1
0:56,,24-29,Jordan Mathews missed Three Point Jumper.,1
0:56,,24-29,Jaylen Brown Offensive Rebound.,1
0:52,,24-31,Jaylen Brown made Layup.,1
0:35,Caleb White missed Three Point Jumper.,24-31,,1
0:35,,24-31,Tyrone Wallace Defensive Rebound.,1
0:26,,24-31,Tyrone Wallace Turnover.,1
0:26,Prince Williams Steal.,24-31,,1
0:25,,24-31,Foul on Tyrone Wallace.,1
0:25,Michael Zangari made Free Throw.,25-31,,1
0:25,Michael Zangari made Free Throw.,26-31,,1
0:21,California Timeout,,,1
0:02,,26-31,Sam Singer missed Jumper.,1
0:02,East Carolina Deadball Team Rebound.,26-31,,1
0:00,End of 1st half,,,1
19:33,Caleb White missed Layup.,26-31,,2
19:33,Michel Nzege Offensive Rebound.,26-31,,2
19:29,,26-31,Foul on Jordan Mathews.,2
19:26,Michel Nzege missed Jumper.,26-31,,2
19:26,,26-31,Ivan Rabb Block.,2
19:22,,26-31,Jaylen Brown Defensive Rebound.,2
19:15,,26-31,Jaylen Brown missed Three Point Jumper.,2
19:15,Prince Williams Defensive Rebound.,26-31,,2
19:07,Prince Williams missed Layup.,26-31,,2
19:07,,26-31,Jabari Bird Defensive Rebound.,2
18:43,,26-31,Tyrone Wallace missed Layup.,2
18:43,Michael Zangari Defensive Rebound.,26-31,,2
18:27,Michel Nzege missed Jumper.,26-31,,2
18:27,,26-31,Ivan Rabb Defensive Rebound.,2
18:24,Foul on Michel Nzege.,26-31,,2
18:07,Foul on Michael Zangari.,26-31,,2
18:04,Foul on Kentrell Barkley.,26-31,,2
18:04,,26-31,Jaylen Brown missed Free Throw.,2
18:04,,26-31,California Deadball Team Rebound.,2
18:04,,26-31,Jaylen Brown missed Free Throw.,2
18:04,,26-31,Jabari Bird Offensive Rebound.,2
18:02,,26-33,Jabari Bird made Layup.,2
17:45,Michael Zangari made Jumper. Assisted by Prince Williams.,28-33,,2
17:45,,28-33,Foul on Ivan Rabb.,2
17:45,Michael Zangari made Free Throw.,29-33,,2
17:27,,29-33,Jordan Mathews missed Three Point Jumper.,2
17:27,,29-33,Ivan Rabb Offensive Rebound.,2
17:22,,29-35,Ivan Rabb made Dunk.,2
16:58,,29-35,Foul on Ivan Rabb.,2
16:58,Michael Zangari made Free Throw.,30-35,,2
16:58,Michael Zangari made Free Throw.,31-35,,2
16:40,,31-35,Jaylen Brown missed Three Point Jumper.,2
16:40,Prince Williams Defensive Rebound.,31-35,,2
16:28,Michael Zangari missed Three Point Jumper.,31-35,,2
16:28,,31-35,Jabari Bird Defensive Rebound.,2
16:20,Foul on Prince Williams.,31-35,,2
16:20,,31-35,Jaylen Brown missed Free Throw.,2
16:20,,31-35,California Deadball Team Rebound.,2
16:20,,31-36,Jaylen Brown made Free Throw.,2
16:04,Prince Williams missed Jumper.,31-36,,2
16:04,,31-36,Ivan Rabb Defensive Rebound.,2
16:02,Foul on Michael Zangari.,31-36,,2
15:48,,31-36,Ivan Rabb missed Jumper.,2
15:48,,31-36,Ivan Rabb Offensive Rebound.,2
15:44,,31-38,Ivan Rabb made Dunk.,2
15:25,Caleb White made Layup.,33-38,,2
15:10,,33-38,Jabari Bird missed Three Point Jumper.,2
